Store ID,Store Name,City,Latitude,Longitude,Google Maps Link
store_003561,Sahu electronics,Delhi,28.7412963,77.1199874,"https://www.google.com/maps?q=28.7412963,77.1199874"
store_003563,Prakash trading CO.,Delhi,28.6705891,77.20257269999999,"https://www.google.com/maps?q=28.6705891,77.20257269999999"
store_003565,Cool universe,Kolkata,22.5639935,88.1542511,"https://www.google.com/maps?q=22.5639935,88.1542511"
store_003564,S R Enterprise,Kolkata,22.9678456,88.53006730000001,"https://www.google.com/maps?q=22.9678456,88.53006730000001"
store_003566,FROSTER Service Center,Kolkata,22.5219179,88.396896,"https://www.google.com/maps?q=22.5219179,88.396896"
store_003568,Electromart,Ghaziabad,28.6454963,77.34301409999999,"https://www.google.com/maps?q=28.6454963,77.34301409999999"
store_003569,A C planet ( ASP ),Kolkata,22.5184698,88.34791109999999,"https://www.google.com/maps?q=22.5184698,88.34791109999999"
store_003653,Electronics Paradise - Ankur Electronic,Delhi,28.6334515,77.2815092,"https://www.google.com/maps?q=28.6334515,77.2815092"
store_003731,Sachdeva Electronics (P) Ltd,Delhi,28.65841,77.23538669999999,"https://www.google.com/maps?q=28.65841,77.23538669999999"
store_003734,New Berco Electronics,Delhi,28.6227575,77.0589959,"https://www.google.com/maps?q=28.6227575,77.0589959"
store_003721,Dummy Store,Delhi,28.5389118,77.2721347,"https://www.google.com/maps?q=28.5389118,77.2721347"
store_003725,Razzle Dazzle Electronics,Delhi,28.6582515,77.2842496,"https://www.google.com/maps?q=28.6582515,77.2842496"
store_003727,Shri Mangla Electronics,Delhi,28.5894707,77.0715587,"https://www.google.com/maps?q=28.5894707,77.0715587"
store_003726,Razzle Dazzle Electronics,Delhi,28.6582515,77.2842496,"https://www.google.com/maps?q=28.6582515,77.2842496"
store_003831,Lamba Electronics,Delhi,28.53852,77.25976600000001,"https://www.google.com/maps?q=28.53852,77.25976600000001"
store_003832,Mu Engineering Services,Delhi,28.629211,77.09961,"https://www.google.com/maps?q=28.629211,77.09961"
store_003833,Neeru Electronics,Delhi,28.5349239,77.2096978,"https://www.google.com/maps?q=28.5349239,77.2096978"
store_003840,Daksh Airconditioner (India),Delhi,28.6082604,77.30299509999999,"https://www.google.com/maps?q=28.6082604,77.30299509999999"
store_003838,Thukral Time Center P Ltd,Delhi,28.5429402,77.2522518,"https://www.google.com/maps?q=28.5429402,77.2522518"
store_003827,Cool Care Airconditioning,Delhi,28.6757161,77.1990734,"https://www.google.com/maps?q=28.6757161,77.1990734"
store_003913,Ace Technomark,Ghaziabad,28.568257,77.32439699999999,"https://www.google.com/maps?q=28.568257,77.32439699999999"
store_003912,Sauraj Electricals,Ghaziabad,28.668038,77.427908,"https://www.google.com/maps?q=28.668038,77.427908"
store_003925,New Rhythm House,Ghaziabad,28.5701426,77.3249538,"https://www.google.com/maps?q=28.5701426,77.3249538"
store_003920,Ice Energy Solutions Private Limited,Ghaziabad,28.5870653,77.43773709999999,"https://www.google.com/maps?q=28.5870653,77.43773709999999"
store_003923,Mishra Refrigeration Engineers Pvt Ltd,Ghaziabad,28.5906933,77.3355476,"https://www.google.com/maps?q=28.5906933,77.3355476"
store_003921,Kay Dee Audio Visions Pvt Ltd,Ghaziabad,28.6300836,77.3792034,"https://www.google.com/maps?q=28.6300836,77.3792034"
store_003926,Vimlesh Enterprises,Ghaziabad,28.5675109,77.3428492,"https://www.google.com/maps?q=28.5675109,77.3428492"
store_004100,M/S Fine Electronics,Gurgaon,28.4185741,76.9178312,"https://www.google.com/maps?q=28.4185741,76.9178312"
store_004099,Koolex Air Conditioners,Gurgaon,28.4598917,77.08348409999999,"https://www.google.com/maps?q=28.4598917,77.08348409999999"
store_004107,Prakash Trading Co,Gurgaon,28.3836338,77.29774599999999,"https://www.google.com/maps?q=28.3836338,77.29774599999999"
store_004111,Anand Electronics,Gurgaon,28.457037,77.0166798,"https://www.google.com/maps?q=28.457037,77.0166798"
store_004117,Shree Jee Electronics,Gurgaon,28.4806144,77.09508509999999,"https://www.google.com/maps?q=28.4806144,77.09508509999999"
store_004143,Ruchi Electronics,Lucknow,26.8725183,80.9801237,"https://www.google.com/maps?q=26.8725183,80.9801237"
store_004140,Airo-Dynamics,Lucknow,26.8531194,81.001632,"https://www.google.com/maps?q=26.8531194,81.001632"
store_004141,Pratap Air Conditioners,Lucknow,26.8810871,80.942788,"https://www.google.com/maps?q=26.8810871,80.942788"
store_004127,Soni Electricals,Lucknow,26.8712534,80.9724914,"https://www.google.com/maps?q=26.8712534,80.9724914"
store_004146,Singhal Airconditioning,Lucknow,26.8375705,80.9242233,"https://www.google.com/maps?q=26.8375705,80.9242233"
